Domain type;Domaine Description;Domain begin;Domain end
REGION;Disordered;1;74
REGION;Involved in phosphatidylcholine substrate selection;272;279
REGION;Disordered;364;384
REGION;Involved in phosphatidylcholine substrate selection;631;635
REGION;Disordered;1544;1563
ACT_SITE;4-aspartylphosphate intermediate;712;712
BINDING;;712;712
BINDING;;712;712
BINDING;;713;713
BINDING;;714;714
BINDING;;714;714
BINDING;;846;846
BINDING;;887;887
BINDING;;889;889
BINDING;;892;892
BINDING;;916;916
BINDING;;952;952
BINDING;;953;953
BINDING;;1032;1032
BINDING;;1033;1033
BINDING;;1034;1034
BINDING;;1147;1147
BINDING;;1153;1153
BINDING;;1173;1173
BINDING;;1176;1176
BINDING;;1177;1177
BINDING;;1177;1177
BINDING;;1436;1436
SITE;Involved in the release of the transported lipid into the cytosolic leaflet;660;660
