Domain type;Domaine Description;Domain begin;Domain end
REPEAT;FSFG 1;13;16
REPEAT;FG 1;36;37
REPEAT;FG 2;43;44
REPEAT;FG 3;64;65
REPEAT;FG 4;74;75
REPEAT;FG 5;84;85
REPEAT;FG 6;94;95
REPEAT;FG 7;104;105
REPEAT;FG 8;123;124
REPEAT;FG 9;142;143
REPEAT;FG 10;147;148
REPEAT;FG 11;168;169
REPEAT;FSFG 2;179;182
REPEAT;FSFG 3;217;220
REPEAT;FG 12;239;240
REPEAT;FG 13;268;269
REPEAT;FSFG 4;284;287
REPEAT;FSFG 5;303;306
REPEAT;FSFG 6;322;325
REPEAT;FSFG 7;341;344
REPEAT;FSFG 8;360;363
REPEAT;FSFG 9;379;382
REPEAT;FSFG 10;398;401
REPEAT;FSFG 11;417;420
REPEAT;FSFG 12;436;439
REPEAT;FSFG 13;455;458
REPEAT;FSFG 14;474;477
REPEAT;FSFG 15;493;496
REPEAT;FSFG 16;512;515
REPEAT;FSFG 17;531;534
REPEAT;FSFG 18;550;553
REPEAT;FG 14;571;572
REPEAT;FSFG 19; approximate;588;591
REGION;Disordered;1;64
REGION;Disordered;70;89
REGION;Disordered;129;620
REGION;Competitive binding site of NUP57 and NUP82;673;738
REGION;Required for association with NUP57 subcomplex;740;823
