GO id;GO term
GO:0030479;C:actin cortical patch
GO:0005737;C:cytoplasm
GO:0043332;C:mating projection tip
GO:0005524;F:ATP binding
GO:0004672;F:protein kinase activity
GO:0106310;F:protein serine kinase activity
GO:0004674;F:protein serine/threonine kinase activity
GO:0000147;P:actin cortical patch assembly
GO:0007015;P:actin filament organization
GO:0120133;P:negative regulation of actin cortical patch assembly
GO:1900186;P:negative regulation of clathrin-dependent endocytosis
GO:0031333;P:negative regulation of protein-containing complex assembly
GO:0016310;P:phosphorylation
