GO id;GO term
GO:0005737;C:cytoplasm
GO:0005634;C:nucleus
GO:0005886;C:plasma membrane
GO:0005524;F:ATP binding
GO:0004672;F:protein kinase activity
GO:0106310;F:protein serine kinase activity
GO:0004674;F:protein serine/threonine kinase activity
GO:0035556;P:intracellular signal transduction
GO:0010629;P:negative regulation of gene expression
GO:0000122;P:negative regulation of transcription by RNA polymerase II
GO:0016310;P:phosphorylation
GO:0043408;P:regulation of MAPK cascade
GO:0000920;P:septum digestion after cytokinesis
GO:0035376;P:sterol import
