GO id;GO term
GO:0005737;C:cytoplasm
GO:0005829;C:cytosol
GO:0043332;C:mating projection tip
GO:0005886;C:plasma membrane
GO:0005096;F:GTPase activator activity
GO:0045159;F:myosin II binding
GO:0031267;F:small GTPase binding
GO:0000149;F:SNARE binding
GO:0019905;F:syntaxin binding
GO:0030010;P:establishment of cell polarity
GO:0006887;P:exocytosis
GO:0006893;P:Golgi to plasma membrane transport
GO:0017157;P:regulation of exocytosis
GO:0050708;P:regulation of protein secretion
GO:0007264;P:small GTPase mediated signal transduction
