GO id;GO term
GO:0005783;C:endoplasmic reticulum
GO:0005788;C:endoplasmic reticulum lumen
GO:0106055;C:mannosyl-oligosaccharide 1,2-alpha-mannosidase complex
GO:0003756;F:protein disulfide isomerase activity
GO:0015035;F:protein-disulfide reductase activity
GO:0051082;F:unfolded protein binding
GO:1904382;P:mannose trimming involved in glycoprotein ERAD pathway
GO:1900103;P:positive regulation of endoplasmic reticulum unfolded protein response
GO:0036508;P:protein alpha-1,2-demannosylation
GO:0006457;P:protein folding
GO:0034976;P:response to endoplasmic reticulum stress
