GO id;GO term
GO:0005737;C:cytoplasm
GO:0005634;C:nucleus
GO:0005667;C:transcription regulator complex
GO:0003677;F:DNA binding
GO:0000981;F:DNA-binding transcription factor activity, RNA polymerase II-specific
GO:0046983;F:protein dimerization activity
GO:0071400;P:cellular response to oleic acid
GO:0031930;P:mitochondria-nucleus signaling pathway
GO:0016559;P:peroxisome fission
GO:0045944;P:positive regulation of transcription by RNA polymerase II
GO:0006357;P:regulation of transcription by RNA polymerase II
