GO id;GO term
GO:0005634;C:nucleus
GO:0000993;F:RNA polymerase II complex binding
GO:0001139;F:RNA polymerase II complex recruiting activity
GO:0000977;F:RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0008270;F:zinc ion binding
GO:0006351;P:DNA-templated transcription
GO:0001193;P:maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II
GO:0045899;P:positive regulation of RNA polymerase II transcription preinitiation complex assembly
GO:0032968;P:positive regulation of transcription elongation by RNA polymerase II
GO:0031440;P:regulation of mRNA 3'-end processing
GO:0031564;P:transcription antitermination
GO:0006383;P:transcription by RNA polymerase III
GO:0006362;P:transcription elongation by RNA polymerase I
GO:0006368;P:transcription elongation by RNA polymerase II
GO:0006367;P:transcription initiation at RNA polymerase II promoter
GO:0042797;P:tRNA transcription by RNA polymerase III
