GO id;GO term
GO:0005768;C:endosome
GO:0043231;C:intracellular membrane-bounded organelle
GO:0005634;C:nucleus
GO:0005628;C:prospore membrane
GO:0070290;F:N-acylphosphatidylethanolamine-specific phospholipase D activity
GO:0032266;F:phosphatidylinositol-3-phosphate binding
GO:0004630;F:phospholipase D activity
GO:0031321;P:ascospore-type prospore assembly
GO:0000753;P:cell morphogenesis involved in conjugation with cellular fusion
GO:0035556;P:intracellular signal transduction
GO:0006654;P:phosphatidic acid biosynthetic process
GO:0009395;P:phospholipid catabolic process
GO:0006644;P:phospholipid metabolic process
