GO id;GO term
GO:0030132;C:clathrin coat of coated pit
GO:0030130;C:clathrin coat of trans-Golgi network vesicle
GO:0071439;C:clathrin complex
GO:0030125;C:clathrin vesicle coat
GO:0005886;C:plasma membrane
GO:0005802;C:trans-Golgi network
GO:0005516;F:calmodulin binding
GO:0032050;F:clathrin heavy chain binding
GO:0005198;F:structural molecule activity
GO:0048268;P:clathrin coat assembly
GO:0072583;P:clathrin-dependent endocytosis
GO:0006897;P:endocytosis
GO:0006886;P:intracellular protein transport
GO:0045807;P:positive regulation of endocytosis
GO:0065003;P:protein-containing complex assembly
