GO id;GO term
GO:0005737;C:cytoplasm
GO:0005634;C:nucleus
GO:0005524;F:ATP binding
GO:0019912;F:cyclin-dependent protein kinase activating kinase activity
GO:0004693;F:cyclin-dependent protein serine/threonine kinase activity
GO:0106310;F:protein serine kinase activity
GO:0004674;F:protein serine/threonine kinase activity
GO:0000086;P:G2/M transition of mitotic cell cycle
GO:0051321;P:meiotic cell cycle
GO:0060633;P:negative regulation of transcription initiation by RNA polymerase II
GO:0016310;P:phosphorylation
GO:0007346;P:regulation of mitotic cell cycle
