GO id;GO term
GO:0005737;C:cytoplasm
GO:0005829;C:cytosol
GO:1990229;C:iron-sulfur cluster assembly complex
GO:0005634;C:nucleus
GO:0051537;F:2 iron, 2 sulfur cluster binding
GO:0015036;F:disulfide oxidoreductase activity
GO:0051536;F:iron-sulfur cluster binding
GO:0046872;F:metal ion binding
GO:0061629;F:RNA polymerase II-specific DNA-binding transcription factor binding
GO:0030036;P:actin cytoskeleton organization
GO:0006879;P:intracellular iron ion homeostasis
GO:0016226;P:iron-sulfur cluster assembly
GO:2000678;P:negative regulation of transcription regulatory region DNA binding
