GO id;GO term
GO:0031428;C:box C/D RNP complex
GO:0022625;C:cytosolic large ribosomal subunit
GO:0005730;C:nucleolus
GO:0005654;C:nucleoplasm
GO:0005634;C:nucleus
GO:0071011;C:precatalytic spliceosome
GO:0032040;C:small-subunit processome
GO:0005681;C:spliceosomal complex
GO:0005687;C:U4 snRNP
GO:0071001;C:U4/U6 snRNP
GO:0046540;C:U4/U6 x U5 tri-snRNP complex
GO:0003723;F:RNA binding
GO:0034511;F:U3 snoRNA binding
GO:0030621;F:U4 snRNA binding
GO:0000494;P:box C/D RNA 3'-end processing
GO:0000470;P:maturation of LSU-rRNA
GO:0030490;P:maturation of SSU-rRNA
GO:0000462;P:maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0000398;P:mRNA splicing, via spliceosome
GO:1905216;P:positive regulation of RNA binding
GO:0000452;P:snoRNA guided rRNA 2'-O-methylation
GO:0000245;P:spliceosomal complex assembly
