GO id;GO term
GO:0032133;C:chromosome passenger complex
GO:0005737;C:cytoplasm
GO:0000776;C:kinetochore
GO:0005828;C:kinetochore microtubule
GO:0005874;C:microtubule
GO:0005634;C:nucleus
GO:0005819;C:spindle
GO:0005876;C:spindle microtubule
GO:0051233;C:spindle midzone
GO:0005524;F:ATP binding
GO:0004672;F:protein kinase activity
GO:0106310;F:protein serine kinase activity
GO:0004674;F:protein serine/threonine kinase activity
GO:0051316;P:attachment of meiotic spindle microtubules to kinetochore
GO:0008608;P:attachment of spindle microtubules to kinetochore
GO:0007059;P:chromosome segregation
GO:0045143;P:homologous chromosome segregation
GO:0045144;P:meiotic sister chromatid segregation
GO:0044774;P:mitotic DNA integrity checkpoint signaling
GO:0051228;P:mitotic spindle disassembly
GO:0007052;P:mitotic spindle organization
GO:1901925;P:negative regulation of protein import into nucleus during spindle assembly checkpoint
GO:0018105;P:peptidyl-serine phosphorylation
GO:0018107;P:peptidyl-threonine phosphorylation
GO:0090267;P:positive regulation of mitotic cell cycle spindle assembly checkpoint
GO:0032465;P:regulation of cytokinesis
GO:0090266;P:regulation of mitotic cell cycle spindle assembly checkpoint
GO:1901673;P:regulation of mitotic spindle assembly
GO:0031134;P:sister chromatid biorientation
