GO id;GO term
GO:0005737;C:cytoplasm
GO:0010494;C:cytoplasmic stress granule
GO:0003729;F:mRNA binding
GO:0043024;F:ribosomal small subunit binding
GO:0003723;F:RNA binding
GO:0033592;F:RNA strand annealing activity
GO:0034057;F:RNA strand-exchange activity
GO:0003727;F:single-stranded RNA binding
GO:0003743;F:translation initiation factor activity
GO:0002181;P:cytoplasmic translation
GO:0097010;P:eukaryotic translation initiation factor 4F complex assembly
GO:0001731;P:formation of translation preinitiation complex
GO:0006413;P:translational initiation
