GO id;GO term
GO:0000785;C:chromatin
GO:0005737;C:cytoplasm
GO:0005634;C:nucleus
GO:0032453;F:histone H3K4 demethylase activity
GO:0034647;F:histone H3K4me/H3K4me2/H3K4me3 demethylase activity
GO:0046872;F:metal ion binding
GO:0071041;P:antisense RNA transcript catabolic process
GO:0006338;P:chromatin remodeling
GO:1904388;P:negative regulation of ncRNA transcription associated with protein coding gene TSS/TES
GO:0000122;P:negative regulation of transcription by RNA polymerase II
GO:0045944;P:positive regulation of transcription by RNA polymerase II
GO:0000183;P:rDNA heterochromatin formation
GO:1902275;P:regulation of chromatin organization
GO:0060623;P:regulation of chromosome condensation
GO:0006355;P:regulation of DNA-templated transcription
