GO id;GO term
GO:0005737;C:cytoplasm
GO:0005634;C:nucleus
GO:0004123;F:cystathionine gamma-lyase activity
GO:0047804;F:cysteine-S-conjugate beta-lyase activity
GO:0080146;F:L-cysteine desulfhydrase activity
GO:0044540;F:L-cystine L-cysteine-lyase (deaminating)
GO:0030170;F:pyridoxal phosphate binding
GO:0019344;P:cysteine biosynthetic process
GO:0019343;P:cysteine biosynthetic process via cystathionine
GO:1904828;P:positive regulation of hydrogen sulfide biosynthetic process
GO:0019346;P:transsulfuration
