GO id;GO term
GO:0005634;C:nucleus
GO:0033698;C:Rpd3L complex
GO:0070210;C:Rpd3L-Expanded complex
GO:0005667;C:transcription regulator complex
GO:0140297;F:DNA-binding transcription factor binding
GO:0001227;F:DNA-binding transcription repressor activity, RNA polymerase II-specific
GO:0000978;F:RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0043565;F:sequence-specific DNA binding
GO:0008270;F:zinc ion binding
GO:0006338;P:chromatin remodeling
GO:0034389;P:lipid droplet organization
GO:0000122;P:negative regulation of transcription by RNA polymerase II
GO:0001081;P:nitrogen catabolite repression of transcription from RNA polymerase II promoter
GO:0045944;P:positive regulation of transcription by RNA polymerase II
GO:0007124;P:pseudohyphal growth
GO:0042173;P:regulation of sporulation resulting in formation of a cellular spore
GO:0009847;P:spore germination
