GO id;GO term
GO:0000785;C:chromatin
GO:0005634;C:nucleus
GO:0016514;C:SWI/SNF complex
GO:0046872;F:metal ion binding
GO:0061629;F:RNA polymerase II-specific DNA-binding transcription factor binding
GO:0000976;F:transcription cis-regulatory region binding
GO:0000436;P:carbon catabolite activation of transcription from RNA polymerase II promoter
GO:0006338;P:chromatin remodeling
GO:0006261;P:DNA-templated DNA replication
GO:0031496;P:positive regulation of mating type switching
GO:0045944;P:positive regulation of transcription by RNA polymerase II
GO:0006357;P:regulation of transcription by RNA polymerase II
