GO id;GO term
GO:0005884;C:actin filament
GO:0032153;C:cell division site
GO:0005935;C:cellular bud neck
GO:0005934;C:cellular bud tip
GO:0000131;C:incipient cellular bud site
GO:0043332;C:mating projection tip
GO:0005886;C:plasma membrane
GO:0000133;C:polarisome
GO:0005628;C:prospore membrane
GO:0003779;F:actin binding
GO:0042802;F:identical protein binding
GO:0005522;F:profilin binding
GO:0031267;F:small GTPase binding
GO:0051017;P:actin filament bundle assembly
GO:0045010;P:actin nucleation
GO:0051016;P:barbed-end actin filament capping
GO:0007118;P:budding cell apical bud growth
GO:0030010;P:establishment of cell polarity
GO:0000132;P:establishment of mitotic spindle orientation
GO:0030950;P:establishment or maintenance of actin cytoskeleton polarity
GO:0070649;P:formin-nucleated actin cable assembly
GO:1903475;P:mitotic actomyosin contractile ring assembly
GO:0032956;P:regulation of actin cytoskeleton organization
GO:0032880;P:regulation of protein localization
GO:0006903;P:vesicle targeting
