GO id;GO term
GO:0005634;C:nucleus
GO:0032993;C:protein-DNA complex
GO:0032131;F:alkylated DNA binding
GO:0003905;F:alkylbase DNA N-glycosylase activity
GO:0003684;F:damaged DNA binding
GO:0008725;F:DNA-3-methyladenine glycosylase activity
GO:0052822;F:DNA-3-methylguanine glycosylase activity
GO:0052821;F:DNA-7-methyladenine glycosylase activity
GO:0043916;F:DNA-7-methylguanine glycosylase activity
GO:0006285;P:base-excision repair, AP site formation
GO:0006307;P:DNA dealkylation involved in DNA repair
