GO id;GO term
GO:0005739;C:mitochondrion
GO:0030870;C:Mre11 complex
GO:0005654;C:nucleoplasm
GO:0005634;C:nucleus
GO:0035861;C:site of double-strand break
GO:0008408;F:3'-5' exonuclease activity
GO:0008296;F:3'-5'-DNA exonuclease activity
GO:0004520;F:DNA endonuclease activity
GO:0003691;F:double-stranded telomeric DNA binding
GO:0004519;F:endonuclease activity
GO:0051880;F:G-quadruplex DNA binding
GO:0030145;F:manganese ion binding
GO:0060090;F:molecular adaptor activity
GO:0000014;F:single-stranded DNA endodeoxyribonuclease activity
GO:0043047;F:single-stranded telomeric DNA binding
GO:0042162;F:telomeric DNA binding
GO:0030437;P:ascospore formation
GO:0006284;P:base-excision repair
GO:0010791;P:DNA double-strand break processing involved in repair via synthesis-dependent strand annealing
GO:0006281;P:DNA repair
GO:0006302;P:double-strand break repair
GO:0000727;P:double-strand break repair via break-induced replication
GO:0000724;P:double-strand break repair via homologous recombination
GO:0006303;P:double-strand break repair via nonhomologous end joining
GO:0035753;P:maintenance of DNA trinucleotide repeats
GO:0042138;P:meiotic DNA double-strand break formation
GO:0010780;P:meiotic DNA double-strand break formation involved in reciprocal meiotic recombination
GO:0097552;P:mitochondrial double-strand break repair via homologous recombination
GO:0007095;P:mitotic G2 DNA damage checkpoint signaling
GO:0031573;P:mitotic intra-S DNA damage checkpoint signaling
GO:0046940;P:nucleoside monophosphate phosphorylation
GO:0007131;P:reciprocal meiotic recombination
GO:0006357;P:regulation of transcription by RNA polymerase II
GO:0000723;P:telomere maintenance
