GO id;GO term
GO:0000781;C:chromosome, telomeric region
GO:0031965;C:nuclear membrane
GO:0005643;C:nuclear pore
GO:0044613;C:nuclear pore central transport channel
GO:0044614;C:nuclear pore cytoplasmic filaments
GO:0031080;C:nuclear pore outer ring
GO:0016787;F:hydrolase activity
GO:0008139;F:nuclear localization sequence binding
GO:0003723;F:RNA binding
GO:0017056;F:structural constituent of nuclear pore
GO:0006302;P:double-strand break repair
GO:0006607;P:NLS-bearing protein import into nucleus
GO:0051664;P:nuclear pore localization
GO:0016973;P:poly(A)+ mRNA export from nucleus
GO:0045893;P:positive regulation of DNA-templated transcription
GO:0000973;P:post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0006606;P:protein import into nucleus
GO:0036228;P:protein localization to nuclear inner membrane
GO:0046822;P:regulation of nucleocytoplasmic transport
GO:0006405;P:RNA export from nucleus
GO:0031509;P:subtelomeric heterochromatin formation
GO:0034398;P:telomere tethering at nuclear periphery
GO:0006409;P:tRNA export from nucleus
