GO id;GO term
GO:0030121;C:AP-1 adaptor complex
GO:0030122;C:AP-2 adaptor complex
GO:0031410;C:cytoplasmic vesicle
GO:0005829;C:cytosol
GO:0005769;C:early endosome
GO:0031901;C:early endosome membrane
GO:0000139;C:Golgi membrane
GO:0005634;C:nucleus
GO:0005802;C:trans-Golgi network
GO:0035615;F:clathrin adaptor activity
GO:0072583;P:clathrin-dependent endocytosis
GO:0006896;P:Golgi to vacuole transport
GO:0006886;P:intracellular protein transport
GO:0048203;P:vesicle targeting, trans-Golgi to endosome
