GO id;GO term
GO:0000785;C:chromatin
GO:0031011;C:Ino80 complex
GO:0016592;C:mediator complex
GO:0033100;C:NuA3 histone acetyltransferase complex
GO:1990467;C:NuA3a histone acetyltransferase complex
GO:1990468;C:NuA3b histone acetyltransferase complex
GO:0005634;C:nucleus
GO:0016514;C:SWI/SNF complex
GO:0005669;C:transcription factor TFIID complex
GO:0005674;C:transcription factor TFIIF complex
GO:0042393;F:histone binding
GO:0016251;F:RNA polymerase II general transcription initiation factor activity
GO:0006338;P:chromatin remodeling
GO:0006281;P:DNA repair
GO:0006351;P:DNA-templated transcription
GO:0045944;P:positive regulation of transcription by RNA polymerase II
GO:0006355;P:regulation of DNA-templated transcription
GO:0006357;P:regulation of transcription by RNA polymerase II
GO:0051123;P:RNA polymerase II preinitiation complex assembly
GO:0006366;P:transcription by RNA polymerase II
GO:0006367;P:transcription initiation at RNA polymerase II promoter
