GO id;GO term
GO:0016593;C:Cdc73/Paf1 complex
GO:0005634;C:nucleus
GO:0003723;F:RNA binding
GO:1990269;F:RNA polymerase II C-terminal domain phosphoserine binding
GO:0061629;F:RNA polymerase II-specific DNA-binding transcription factor binding
GO:0003712;F:transcription coregulator activity
GO:0006325;P:chromatin organization
GO:0006353;P:DNA-templated transcription termination
GO:2001209;P:positive regulation of transcription elongation by RNA polymerase I
GO:0032968;P:positive regulation of transcription elongation by RNA polymerase II
GO:0090262;P:regulation of transcription-coupled nucleotide-excision repair
GO:0006368;P:transcription elongation by RNA polymerase II
