GO id;GO term
GO:0005635;C:nuclear envelope
GO:0031965;C:nuclear membrane
GO:0005643;C:nuclear pore
GO:0044613;C:nuclear pore central transport channel
GO:0044615;C:nuclear pore nuclear basket
GO:0008139;F:nuclear localization sequence binding
GO:0017056;F:structural constituent of nuclear pore
GO:0006607;P:NLS-bearing protein import into nucleus
GO:0006913;P:nucleocytoplasmic transport
GO:0016973;P:poly(A)+ mRNA export from nucleus
GO:0006606;P:protein import into nucleus
GO:0000055;P:ribosomal large subunit export from nucleus
GO:0006405;P:RNA export from nucleus
GO:0000972;P:transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
