GO id;GO term
GO:0030893;C:meiotic cohesin complex
GO:0030892;C:mitotic cohesin complex
GO:0005634;C:nucleus
GO:0005524;F:ATP binding
GO:0016887;F:ATP hydrolysis activity
GO:0061775;F:cohesin loader activity
GO:0003690;F:double-stranded DNA binding
GO:0042802;F:identical protein binding
GO:0019901;F:protein kinase binding
GO:0051301;P:cell division
GO:0034089;P:establishment of meiotic sister chromatid cohesion
GO:0034087;P:establishment of mitotic sister chromatid cohesion
GO:0051177;P:meiotic sister chromatid cohesion
GO:0007064;P:mitotic sister chromatid cohesion
GO:0007131;P:reciprocal meiotic recombination
GO:1990414;P:replication-born double-strand break repair via sister chromatid exchange
GO:0007130;P:synaptonemal complex assembly
