GO id;GO term
GO:0000785;C:chromatin
GO:0005634;C:nucleus
GO:0001227;F:DNA-binding transcription repressor activity, RNA polymerase II-specific
GO:0051864;F:histone H3K36 demethylase activity
GO:0032454;F:histone H3K9 demethylase activity
GO:0046872;F:metal ion binding
GO:0043565;F:sequence-specific DNA binding
GO:0006338;P:chromatin remodeling
GO:0010507;P:negative regulation of autophagy
GO:0000122;P:negative regulation of transcription by RNA polymerase II
GO:0032968;P:positive regulation of transcription elongation by RNA polymerase II
GO:0010468;P:regulation of gene expression
