GO id;GO term
GO:0005654;C:nucleoplasm
GO:0005634;C:nucleus
GO:0000126;C:transcription factor TFIIIB complex
GO:0097550;C:transcription preinitiation complex
GO:0003677;F:DNA binding
GO:0046872;F:metal ion binding
GO:0000994;F:RNA polymerase III core binding
GO:0000995;F:RNA polymerase III general transcription initiation factor activity
GO:0001006;F:RNA polymerase III type 3 promoter sequence-specific DNA binding
GO:0017025;F:TBP-class protein binding
GO:0001156;F:TFIIIC-class transcription factor complex binding
GO:0006352;P:DNA-templated transcription initiation
GO:0001112;P:DNA-templated transcription open complex formation
GO:0006359;P:regulation of transcription by RNA polymerase III
GO:0070898;P:RNA polymerase III preinitiation complex assembly
GO:0006383;P:transcription by RNA polymerase III
