GO id;GO term
GO:0000781;C:chromosome, telomeric region
GO:0005737;C:cytoplasm
GO:0005829;C:cytosol
GO:0000408;C:EKC/KEOPS complex
GO:0005654;C:nucleoplasm
GO:0005634;C:nucleus
GO:0005524;F:ATP binding
GO:0016887;F:ATP hydrolysis activity
GO:0106310;F:protein serine kinase activity
GO:0004674;F:protein serine/threonine kinase activity
GO:0000282;P:cellular bud site selection
GO:1990145;P:maintenance of translational fidelity
GO:0016310;P:phosphorylation
GO:0045944;P:positive regulation of transcription by RNA polymerase II
GO:0000723;P:telomere maintenance
GO:0000722;P:telomere maintenance via recombination
GO:0070525;P:tRNA threonylcarbamoyladenosine metabolic process
GO:0002949;P:tRNA threonylcarbamoyladenosine modification
