GO id;GO term
GO:0000785;C:chromatin
GO:0005737;C:cytoplasm
GO:0000329;C:fungal-type vacuole membrane
GO:0005634;C:nucleus
GO:0005524;F:ATP binding
GO:0106310;F:protein serine kinase activity
GO:0004674;F:protein serine/threonine kinase activity
GO:0035556;P:intracellular signal transduction
GO:0016310;P:phosphorylation
GO:1904828;P:positive regulation of hydrogen sulfide biosynthetic process
GO:0060963;P:positive regulation of ribosomal protein gene transcription by RNA polymerase II
GO:0045943;P:positive regulation of transcription by RNA polymerase I
GO:0045945;P:positive regulation of transcription by RNA polymerase III
GO:0008361;P:regulation of cell size
GO:1901494;P:regulation of cysteine metabolic process
GO:0032880;P:regulation of protein localization
GO:0047484;P:regulation of response to osmotic stress
GO:0090153;P:regulation of sphingolipid biosynthetic process
GO:0006357;P:regulation of transcription by RNA polymerase II
