GO id;GO term
GO:1990483;C:Clr6 histone deacetylase complex I''
GO:0005829;C:cytosol
GO:0005634;C:nucleus
GO:0033698;C:Rpd3L complex
GO:0070210;C:Rpd3L-Expanded complex
GO:0000747;P:conjugation with cellular fusion
GO:0001403;P:invasive growth in response to glucose limitation
GO:0061188;P:negative regulation of rDNA heterochromatin formation
GO:0061186;P:negative regulation of silent mating-type cassette heterochromatin formation
GO:0000122;P:negative regulation of transcription by RNA polymerase II
GO:0006334;P:nucleosome assembly
GO:2000219;P:positive regulation of invasive growth in response to glucose limitation
GO:0006357;P:regulation of transcription by RNA polymerase II
