GO id;GO term
GO:0005829;C:cytosol
GO:0005743;C:mitochondrial inner membrane
GO:0005758;C:mitochondrial intermembrane space
GO:0005753;C:mitochondrial proton-transporting ATP synthase complex
GO:0005754;C:mitochondrial proton-transporting ATP synthase, catalytic core
GO:0005739;C:mitochondrion
GO:0045261;C:proton-transporting ATP synthase complex, catalytic core F(1)
GO:0005524;F:ATP binding
GO:0016887;F:ATP hydrolysis activity
GO:0046933;F:proton-transporting ATP synthase activity, rotational mechanism
GO:0046961;F:proton-transporting ATPase activity, rotational mechanism
GO:0015986;P:proton motive force-driven ATP synthesis
GO:0042776;P:proton motive force-driven mitochondrial ATP synthesis
