GO id;GO term
GO:0005938;C:cell cortex
GO:0005935;C:cellular bud neck
GO:0005934;C:cellular bud tip
GO:0005737;C:cytoplasm
GO:0005856;C:cytoskeleton
GO:0000131;C:incipient cellular bud site
GO:0043332;C:mating projection tip
GO:0005739;C:mitochondrion
GO:0120157;C:PAR polarity complex
GO:0030427;C:site of polarized growth
GO:0060090;F:molecular adaptor activity
GO:0032266;F:phosphatidylinositol-3-phosphate binding
GO:0030674;F:protein-macromolecule adaptor activity
GO:0000753;P:cell morphogenesis involved in conjugation with cellular fusion
GO:0000282;P:cellular bud site selection
GO:0000747;P:conjugation with cellular fusion
GO:0045185;P:maintenance of protein location
GO:0035023;P:regulation of Rho protein signal transduction
