GO id;GO term
GO:0005737;C:cytoplasm
GO:0005655;C:nucleolar ribonuclease P complex
GO:0000172;C:ribonuclease MRP complex
GO:0000171;F:ribonuclease MRP activity
GO:0004526;F:ribonuclease P activity
GO:0033204;F:ribonuclease P RNA binding
GO:0003723;F:RNA binding
GO:0034965;P:intronic box C/D RNA processing
GO:0000460;P:maturation of 5.8S rRNA
GO:0000294;P:nuclear-transcribed mRNA catabolic process, RNase MRP-dependent
GO:0006364;P:rRNA processing
GO:0001682;P:tRNA 5'-leader removal
GO:0008033;P:tRNA processing
