GO id;GO term
GO:0005737;C:cytoplasm
GO:0106095;C:m7G(5')pppN diphosphatase complex
GO:0005739;C:mitochondrion
GO:0005634;C:nucleus
GO:0000932;C:P-body
GO:0048471;C:perinuclear region of cytoplasm
GO:0140932;F:5'-(N(7)-methyl 5'-triphosphoguanosine)-[mRNA] diphosphatase activity
GO:0044692;F:exoribonuclease activator activity
GO:0016818;F:hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
GO:0042802;F:identical protein binding
GO:0046982;F:protein heterodimerization activity
GO:0042803;F:protein homodimerization activity
GO:0000340;F:RNA 7-methylguanosine cap binding
GO:0009267;P:cellular response to starvation
GO:0000290;P:deadenylation-dependent decapping of nuclear-transcribed mRNA
GO:0000956;P:nuclear-transcribed mRNA catabolic process
GO:0000288;P:nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
GO:0031086;P:nuclear-transcribed mRNA catabolic process, deadenylation-independent decay
GO:0009408;P:response to heat
GO:0007584;P:response to nutrient
GO:0006970;P:response to osmotic stress
GO:0006979;P:response to oxidative stress
