GO id;GO term
GO:0005737;C:cytoplasm
GO:0005829;C:cytosol
GO:0009277;C:fungal-type cell wall
GO:0005811;C:lipid droplet
GO:0005739;C:mitochondrion
GO:0005634;C:nucleus
GO:0005886;C:plasma membrane
GO:0004365;F:glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GO:1904408;F:melatonin binding
GO:0051287;F:NAD binding
GO:0050661;F:NADP binding
GO:1990841;F:promoter-specific chromatin binding
GO:0006915;P:apoptotic process
GO:0006094;P:gluconeogenesis
GO:0006096;P:glycolytic process
GO:0072593;P:reactive oxygen species metabolic process
