GO id;GO term
GO:0005783;C:endoplasmic reticulum
GO:0005789;C:endoplasmic reticulum membrane
GO:0000324;C:fungal-type vacuole
GO:0000329;C:fungal-type vacuole membrane
GO:0042175;C:nuclear outer membrane-endoplasmic reticulum membrane network
GO:0018812;F:3-hydroxyacyl-CoA dehydratase activity
GO:0004300;F:enoyl-CoA hydratase activity
GO:0102158;F:very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase activity
GO:0030497;P:fatty acid elongation
GO:0030148;P:sphingolipid biosynthetic process
GO:0007034;P:vacuolar transport
GO:0042761;P:very long-chain fatty acid biosynthetic process
