GO id;GO term
GO:0031314;C:extrinsic component of mitochondrial inner membrane
GO:0005743;C:mitochondrial inner membrane
GO:0005739;C:mitochondrion
GO:0001405;C:PAM complex, Tim23 associated import motor
GO:0005744;C:TIM23 mitochondrial import inner membrane translocase complex
GO:0005524;F:ATP binding
GO:0051087;F:protein-folding chaperone binding
GO:0030674;F:protein-macromolecule adaptor activity
GO:0006886;P:intracellular protein transport
GO:0030150;P:protein import into mitochondrial matrix
